ITM,HND,NTT016,NTT001
SPK,KIX,NTT021,NTT006
OKA,HND,NTT018,NTT013
FUK,NRT,NTT004,NTT003
OKA,UKB,NTT007,NTT005
OKA,ITM,NTT009,NTT008
SPK,NGO,NTT011,NTT010
SPK,HND,NTT017,NTT012
KIX,HND,NTT019,NTT014
FUK,HND,NTT020,NTT015
HND,ITM,NTT031,NTT046
KIX,SPK,NTT036,NTT051
HND,OKA,NTT043,NTT048
NRT,FUK,NTT033,NTT034
UKB,OKA,NTT035,NTT037
ITM,OKA,NTT038,NTT039
NGO,SPK,NTT040,NTT041
HND,SPK,NTT042,NTT047
HND,KIX,NTT044,NTT049
HND,FUK,NTT045,NTT050
KIX,NRT,XXX002,XXX001
NGO,FUK,XXX004,XXX003
SPK,ITM,AAA001,XXX005
OKA,NRT,AAA003,AAA002
KIX,NGO,AAA005,AAA004
FUK,SPK,BBB002,BBB001
NGO,ITM,BBB004,BBB003
SPK,OKA,CCC001,BBB005
HND,UKB,CCC003,CCC002
KIX,FUK,CCC005,CCC004
NRT,KIX,XXX031,XXX032
FUK,NGO,XXX033,XXX034
ITM,SPK,XXX035,AAA031
NRT,OKA,AAA032,AAA033
NGO,KIX,AAA034,AAA035
SPK,FUK,BBB031,BBB032
ITM,NGO,BBB033,BBB034
OKA,SPK,BBB035,CCC031
UKB,HND,CCC032,CCC033
FUK,KIX,CCC034,CCC035
ITM,HND,NTT076,NTT061
SPK,KIX,NTT081,NTT066
OKA,HND,NTT078,NTT073
FUK,NRT,NTT064,NTT063
OKA,UKB,NTT067,NTT065
OKA,ITM,NTT069,NTT068
SPK,NGO,NTT071,NTT070
SPK,HND,NTT077,NTT072
KIX,HND,NTT079,NTT074
FUK,HND,NTT080,NTT075
HND,ITM,NTT091,NTT106
KIX,SPK,NTT096,NTT111
HND,OKA,NTT103,NTT108
NRT,FUK,NTT093,NTT094
UKB,OKA,NTT095,NTT097
ITM,OKA,NTT098,NTT099
NGO,SPK,NTT100,NTT101
HND,SPK,NTT102,NTT107
HND,KIX,NTT104,NTT109
HND,FUK,NTT105,NTT110
KIX,NRT,XXX062,XXX061
NGO,FUK,XXX064,XXX063
SPK,ITM,AAA061,XXX065
OKA,NRT,AAA063,AAA062
KIX,NGO,AAA065,AAA064
FUK,SPK,BBB062,BBB061
